20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11453674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11453677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11453677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11453677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11463667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11463670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11463674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11463677 |[UPDATE][pNIC4] pNIC_Latency(531) 

20161122:11463677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11463677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11473667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11473670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11473674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11473677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11473677 |[UPDATE][pNIC4] pNIC_Latency(531) 

20161122:11473677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(532) 

