20161122:11473647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11473649 |[UPDATE][vSwitch5] vSwitch_Latency(22) 

20161122:11473649 |[UPDATE][vSwitch5] vSwitch_Latency(21) 

20161122:11473649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11473652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11473652 |[UPDATE][vSwitch6] vSwitch_Latency(21) 

20161122:11473652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11473653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11473653 |[UPDATE][vSwitch7] vSwitch_Latency(21) 

20161122:11473653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11473655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11473655 |[UPDATE][vSwitch8] vSwitch_Latency(21) 

20161122:11473655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11473660 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11473660 |[UPDATE][vSwitch9] vSwitch_Latency(21) 

20161122:11473660 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

20161122:11473664 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11473664 |[UPDATE][vSwitch10] vSwitch_Latency(21) 

20161122:11473664 |[UPDATE][vSwitch10] vSwitch_Latency(23) 

20161122:11483643 |[UPDATE][vSwitch1] vSwitch_Latency(22) 

20161122:11483643 |[UPDATE][vSwitch1] vSwitch_Latency(22) 

20161122:11483644 |[UPDATE][vSwitch2] vSwitch_Latency(21) 

20161122:11483644 |[UPDATE][vSwitch2] vSwitch_Latency(20) 

20161122:11483644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11483646 |[UPDATE][vSwitch3] vSwitch_Latency(21) 

20161122:11483646 |[UPDATE][vSwitch3] vSwitch_Latency(20) 

20161122:11483646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11483647 |[UPDATE][vSwitch4] vSwitch_Latency(21) 

20161122:11483647 |[UPDATE][vSwitch4] vSwitch_Latency(20) 

20161122:11483647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11483649 |[UPDATE][vSwitch5] vSwitch_Latency(21) 

20161122:11483649 |[UPDATE][vSwitch5] vSwitch_Latency(20) 

20161122:11483649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11483652 |[UPDATE][vSwitch6] vSwitch_Latency(21) 

20161122:11483652 |[UPDATE][vSwitch6] vSwitch_Latency(20) 

20161122:11483652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11483654 |[UPDATE][vSwitch7] vSwitch_Latency(21) 

20161122:11483654 |[UPDATE][vSwitch7] vSwitch_Latency(20) 

20161122:11483654 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

